id,original,surface,pronunciation,class,extinct
0,ケナガルーセットオオコウモリ,ケナガルーセットオオコウモリ,ケナガルーセットオオコウモリ,NA,no
1,ハジロコチドリ,ハジロコチドリ,ハジロコチドリ,鳥類,no
2,ペルージアリドリ,ペルージアリドリ,ペルージアリドリ,鳥類,no
3,アカオオオヒラハシハエトリ,アカオオオヒラハシハエトリ,アカオオオヒラハシハエトリ,鳥類,no
4,ムラサキモリヤツガシラ,ムラサキモリヤツガシラ,ムラサキモリヤツガシラ,鳥類,no
5,ダスキーティティ,ダスキーティティ,ダスキーティティ,哺乳類,no
6,アカビタイムシクイキンパラ,アカビタイムシクイキンパラ,アカビタイムシクイキンパラ,鳥類,no
7,シロハラアカヒゲハチドリ,シロハラアカヒゲハチドリ,シロハラアカヒゲハチドリ,鳥類,no
8,ミナミヤブハエトリ,ミナミヤブハエトリ,ミナミヤブハエトリ,鳥類,no
9,クリバネコウウチョウ,クリバネコウウチョウ,クリバネコウウチョウ,鳥類,no
10,マエツ,マエツ,マエツ,NA,no
11,アラビアイワシャコ,アラビアイワシャコ,アラビアイワシャコ,鳥類,no
12,マミジロアジサシ,マミジロアジサシ,マミジロアジサシ,鳥類,no
13,ハイボウシヒラハシハエトリ,ハイボウシヒラハシハエトリ,ハイボウシヒラハシハエトリ,鳥類,no
14,キガタハゴロモガラス,キガタハゴロモガラス,キガタハゴロモガラス,鳥類,no
15,キノボリカマドドリ,キノボリカマドドリ,キノボリカマドドリ,鳥類,no
16,キタヌマコトンラット,キタヌマコトンラット,キタヌマコトンラット,NA,no
17,オオモリクイナ,オオモリクイナ,オオモリクイナ,鳥類,no
18,ブラジルノロマウス,ブラジルノロマウス,ブラジルノロマウス,NA,no
19,ホソオヤマアラシ,ホソオヤマアラシ,ホソオヤマアラシ,哺乳類,no
20,メグミジネズミ,メグミジネズミ,メグミジネズミ,NA,no
21,ミミジロカササギビタキ,ミミジロカササギビタキ,ミミジロカササギビタキ,鳥類,no
22,ズアカアカムシクイ,ズアカアカムシクイ,ズアカアカムシクイ,鳥類,no
23,オナガセアオマイコドリ,オナガセアオマイコドリ,オナガセアオマイコドリ,鳥類,no
24,エゾライチョウ,エゾライチョウ,エゾライチョウ,鳥類,no
25,アオマメガン,アオマメガン,アオマメガン,鳥類,no
26,コビトハツカネズミ,コビトハツカネズミ,コビトハツカネズミ,NA,no
27,カゼトゲタナゴ,カゼトゲタナゴ,カゼトゲタナゴ,魚類,no
28,サワアンテキヌス,サワアンテキヌス,サワアンテキヌス,哺乳類,no
29,ミミジロゴシキドリ,ミミジロゴシキドリ,ミミジロゴシキドリ,鳥類,no
30,サンケイ,サンケイ,サンケイ,鳥類,no
31,ミナミアフリカオットセイ,ミナミアフリカオットセイ,ミナミアフリカオットセイ,哺乳類,no
